------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.5 Firmware v3.2.1 date format M/d/yyyy Filter Normal -----------
Serial Number: NEO1C16110306
Start Time 06:34:00
Start Date 5/15/2014
Epoch Period (hh:mm:ss) 00:01:00
Download Time 14:02:26
Download Date 5/22/2014
Current Memory Address: 0
Current Battery Voltage: 3.74     Mode = 13
--------------------------------------------------
Axis1,Axis2,Axis3,Steps
649,434,1028,6
600,595,651,5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1394,1440,1300,7
958,1328,1796,39
226,302,846,15
1087,1209,743,14
211,58,75,4
484,60,216,10
648,77,322,12
334,52,82,7
223,84,32,3
83,32,25,0
320,158,175,10
244,66,99,5
708,513,612,26
875,805,978,31
16,23,0,0
0,0,0,0
2,6,0,0
985,1238,2091,47
249,182,166,7
20,6,20,0
171,45,37,7
78,97,82,6
88,15,31,2
103,20,5,2
170,134,91,7
248,69,94,9
1019,359,496,14
62,137,69,2
22,111,89,1
29,31,32,1
51,40,10,0
20,20,9,1
176,207,43,5
1575,1059,1250,25
901,512,758,20
760,870,575,4
0,0,0,0
261,42,375,2
0,0,0,0
108,91,210,1
0,0,0,0
3386,4630,4507,16
1291,2202,1387,15
1331,1541,1470,19
2810,2539,2278,16
2269,2374,2418,21
2852,3932,3265,32
3462,2962,3266,25
2975,3212,2454,21
2791,2194,2339,16
849,578,1171,4
112,233,897,3
147,460,823,4
866,1017,1661,10
2258,1156,3010,19
710,312,680,6
773,610,1347,8
2111,1969,4724,21
1896,1431,1996,9
1577,1475,1708,11
1660,1504,1163,13
587,287,899,7
592,334,733,2
381,146,855,3
398,922,1187,4
793,604,1920,9
105,321,693,2
1572,1860,1594,14
2694,1930,2449,14
85,120,734,1
12,0,26,1
1157,1275,1349,11
4712,6066,6166,25
27,6,19,1
297,1499,564,3
256,776,512,5
227,333,103,3
344,487,436,1
722,923,1109,9
55,450,120,2
119,642,593,4
218,426,181,0
2976,3116,3609,24
2749,2224,2495,16
1470,1354,1915,21
1211,620,1267,11
3072,2372,4616,26
3773,2727,3946,21
5021,3162,3760,26
1475,1954,2186,16
2661,2491,3885,18
2136,1901,2768,13
3043,2889,3254,21
3826,3042,4974,28
2437,2654,3541,27
4180,4431,5256,43
3035,2930,3148,42
3147,3043,4638,26
1371,1592,3177,19
680,1253,2828,8
192,491,674,2
683,1227,2004,11
1748,1176,2996,20
3333,2245,3260,46
4702,3167,3918,65
4086,2899,3962,29
2992,2853,3050,37
2535,2104,3272,22
2353,1827,2340,19
2438,2240,2985,24
